fecha,neba,testMAE,max_trainMAE,anomaly,neba_real
2021-01-28 16:00:00,0.1272179583561837,0.922923601233438,1.4,False,4178.0
2021-01-28 16:30:00,0.23148314262714223,0.9253745707436669,1.4,False,4548.0
2021-01-28 17:00:00,0.3766090072205034,0.9426355556203142,1.4,False,5063.0
2021-01-28 17:30:00,0.42958699274196344,0.9891975687351032,1.4,False,5251.0
2021-01-28 18:00:00,0.5313159968549797,1.0077817590873213,1.4,False,5612.0
2021-01-28 18:30:00,0.5510418425278637,1.0455129418092086,1.4,False,5682.0
2021-01-28 19:00:00,0.5727402727680362,1.0523007487893674,1.4,False,5759.0
2021-01-28 19:30:00,0.5972566809614778,1.0587501114804894,1.4,False,5846.0
2021-01-28 20:00:00,0.6138827508857658,1.0675073373069879,1.4,False,5905.0
2021-01-28 20:30:00,0.639808148055842,1.0733091781096558,1.4,False,5997.0
2021-01-28 21:00:00,0.6538980378221877,1.0835322142351134,1.4,False,6047.0
2021-01-28 21:30:00,0.6654517474305912,1.0887533986286253,1.4,False,6088.0
2021-01-28 22:00:00,0.6702423099511488,1.0926004636519653,1.4,False,6105.0
2021-01-28 22:30:00,0.6750328724717063,1.093211200029615,1.4,False,6122.0
2021-01-28 23:00:00,0.6967313027118788,1.0938117006114028,1.4,False,6199.0
2021-01-28 23:30:00,0.6981402916885133,1.1030929357249877,1.4,False,6204.0
2021-01-29 00:00:00,-1.050133230519667,1.1022037633655049,1.4,False,-4.547473508864641e-13
2021-01-29 00:30:00,-1.0306891826421096,1.1205748746826683,1.4,False,69.00000000000045
2021-01-29 01:00:00,-1.0244896311449176,1.1106158951313405,1.4,False,90.99999999999955
2021-01-29 01:30:00,-1.022798844372956,1.0988274657259107,1.4,False,97.0
2021-01-29 02:00:00,-1.0211080576009945,1.0848042103518998,1.4,False,103.0
2021-01-29 02:30:00,-1.01969906862436,1.0731677541637756,1.4,False,107.99999999999955
2021-01-29 03:00:00,-1.01969906862436,1.0599354365183995,1.4,False,107.99999999999955
2021-01-29 03:30:00,-0.9920828846823223,1.0475475942013215,1.4,False,206.0
2021-01-29 04:00:00,-0.9918010868869954,1.0199570548329064,1.4,False,207.0
2021-01-29 04:30:00,-0.9918010868869954,1.005162193183925,1.4,False,207.0
2021-01-29 05:00:00,-0.9918010868869954,0.9905149495949392,1.4,False,207.0
2021-01-29 05:30:00,-0.9918010868869954,0.976185568334932,1.4,False,207.0
2021-01-29 06:00:00,-0.9909556935010146,0.9624768581522962,1.4,False,210.0
2021-01-29 06:30:00,-0.7629812770815405,0.9495729914513598,1.4,False,1019.0
2021-01-29 07:00:00,-0.7612904903095791,0.8756938453223239,1.4,False,1025.0
2021-01-29 07:30:00,-0.7562181299936945,0.8728450259077974,1.4,False,1043.0
